,导演,上映日期,地区,评分,评价人数
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,"
                            1994",美国,9.7,2649395
霸王别姬,陈凯歌 Kaige Chen,"
                            1993",中国大陆 中国香港,9.6,1967330
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,"
                            1994",美国,9.5,1991040
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,"
                            1997",美国 墨西哥 澳大利亚 加拿大,9.4,1951028
这个杀手不太冷,吕克·贝松 Luc Besson,"
                            1994",法国 美国,9.4,2139408
美丽人生,罗伯托·贝尼尼 Roberto Benigni,"
                            1997",意大利,9.6,1223396
千与千寻,宫崎骏 Hayao Miyazaki,"
                            2001",日本,9.4,2067207
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,"
                            1993",美国,9.6,1020577
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,"
                            2010",美国 英国,9.4,1906777
星际穿越,克里斯托弗·诺兰 Christopher Nolan,"
                            2014",美国 英国 加拿大,9.4,1602559
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,"
                            2009",美国 英国,9.4,1303290
楚门的世界,彼得·威尔 Peter Weir,"
                            1998",美国,9.3,1524349
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,"
                            1998",意大利,9.3,1552021
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,"
                            2009",印度,9.2,1729081
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,"
                            2008",美国,9.3,1221482
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,"
                            2004",法国 瑞士 德国,9.3,1206267
无间道,刘伟强 / 麦兆辉,"
                            2002",中国香港,9.3,1229539
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,"
                            2016",美国,9.2,1747010
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,"
                            1995",中国香港 中国大陆,9.2,1416403
熔炉,黄东赫 Dong-hyuk Hwang,"
                            2011",韩国,9.3,862557
控方证人,比利·怀尔德 Billy Wilder,"
                            1957",美国,9.6,472872
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,"
                            1972",美国,9.3,880704
当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,"
                            2006",美国,9.2,1406184
触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,"
                            2011",法国,9.3,989953
怦然心动,罗伯·莱纳 Rob Reiner,"
                            2010",美国,9.1,1687856
龙猫,宫崎骏 Hayao Miyazaki,"
                            1988",日本,9.2,1168263
末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,"
                            1987",英国 意大利 中国大陆 法国,9.3,789798
寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,"
                            2017",美国,9.1,1507864
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,"
                            2008",美国 英国,9.2,974531
活着,张艺谋 Yimou Zhang,"
                            1994",中国大陆 中国香港,9.3,761027
哈利·波特与魔法石,Chris Columbus,"
                            2001",美国 英国,9.1,1061460
指环王3：王者无敌,彼得·杰克逊 Peter Jackson,"
                            2003",美国 新西兰,9.3,737089
乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,"
                            1939",美国,9.3,636139
素媛,李濬益 Jun-ik Lee,"
                            2013",韩国,9.3,625823
飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,"
                            2009",美国,9.1,1222688
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,"
                            2016",印度,9.0,1452661
我不是药神,文牧野 Muye Wen,"
                            2018",中国大陆,9.0,1936351
何以为家,娜丁·拉巴基 Nadine Labaki,"
                            2018",黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,9.1,954717
十二怒汉,Sidney Lumet,"
                            1957",美国,9.4,440304
哈尔的移动城堡,宫崎骏 Hayao Miyazaki,"
                            2004",日本,9.1,928154
少年派的奇幻漂流,李安 Ang Lee,"
                            2012",美国 中国台湾 英国 加拿大,9.1,1256681
鬼子来了,姜文 Wen Jiang,"
                            2000",中国大陆,9.3,571293
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,"
                            2002",美国 加拿大,9.1,902281
大话西游之月光宝盒,刘镇伟 Jeffrey Lau,"
                            1995",中国香港 中国大陆,9.0,1129199
天空之城,宫崎骏 Hayao Miyazaki,"
                            1986",日本,9.1,758405
钢琴家,罗曼·波兰斯基 Roman Polanski,"
                            2002",英国 法国 波兰 德国,9.3,558997
闻香识女人,马丁·布莱斯 Martin Brest,"
                            1992",美国,9.1,803812
让子弹飞,姜文 Wen Jiang,"
                            2010",中国大陆 中国香港,8.9,1541190
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,"
                            2002",美国 新西兰,9.2,688434
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,"
                            1988",意大利 法国,9.2,635481
罗马假日,威廉·惠勒 William Wyler,"
                            1953",美国,9.1,885396
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,"
                            2015",德国 瑞士,9.3,505981
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,"
                            1999",美国,9.1,774252
指环王1：护戒使者,彼得·杰克逊 Peter Jackson,"
                            2001",新西兰 美国,9.1,777565
大闹天宫,万籁鸣 Laiming Wan,"
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆)",中国大陆,9.4,391485
死亡诗社,彼得·威尔 Peter Weir,"
                            1989",美国,9.1,650238
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,"
                            1974",美国,9.2,499373
辩护人,杨宇硕 Woo-seok Yang,"
                            2013",韩国,9.2,547950
绿皮书,彼得·法雷里 Peter Farrelly,"
                            2018",美国 中国大陆,8.9,1485721
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,"
                            1994",美国,9.1,766909
搏击俱乐部,大卫·芬奇 David Fincher,"
                            1999",美国 德国 意大利,9.0,782500
饮食男女,李安 Ang Lee,"
                            1994",中国台湾 美国,9.2,561976
美丽心灵,朗·霍华德 Ron Howard,"
                            2001",美国,9.1,708560
本杰明·巴顿奇事,大卫·芬奇 David Fincher,"
                            2008",美国,9.0,909236
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,"
                            2006",德国,9.2,519350
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,"
                            2008",英国 美国,9.2,504702
情书,岩井俊二 Shunji Iwai,"
                            1995",日本,8.9,995027
两杆大烟枪,Guy Ritchie,"
                            1998",英国,9.1,552794
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,"
                            2000",意大利 美国,8.9,899809
看不见的客人,奥里奥尔·保罗 Oriol Paulo,"
                            2016",西班牙,8.8,1148740
