Book name,Author,URL,Coming Date,Publish,Ratings,Rating population,Price
生死疲劳,莫言,https://book.douban.com/subject/35587028/,2022,浙江文艺出版社,9.1,12170,69.90
鹿川有许多粪,李沧东,https://book.douban.com/subject/35517022/,2021,武汉大学出版社,9.0,17353,58.00
活着,余华,https://book.douban.com/subject/4913064/,2012,作家出版社,9.4,709580,20.00
偶像失格,[日]宇佐见铃,https://book.douban.com/subject/35680099/,2022,湖南文艺出版社,7.5,1559,49.00
我本芬芳,杨本芬,https://book.douban.com/subject/35695541/,2022,北京联合出版公司,8.3,10551,39.80
美丽的世界，你在哪里,[爱尔兰]萨莉·鲁尼,https://book.douban.com/subject/35802030/,2022,上海译文出版社,7.7,2221,68.00
秋园,杨本芬,https://book.douban.com/subject/34998019/,2020,北京联合出版公司,9.0,48106,38.00
献给阿尔吉侬的花束,[美]丹尼尔·凯斯,https://book.douban.com/subject/26362836/,2015,广西师范大学出版社,9.1,68076,36.00
克拉拉与太阳,[英]石黑一雄,https://book.douban.com/subject/35315153/,2021,上海译文出版社,8.2,36450,68.00
同名同姓受害者协会,[日]下村敦史,https://book.douban.com/subject/35776311/,2022,文汇出版社,7.4,8373,45
人生海海,麦家,https://book.douban.com/subject/30475767/,2019,北京十月文艺出版社,8.0,70540,55.00
绝叫,[日]叶真中显,https://book.douban.com/subject/35031587/,2020,北京联合出版公司,8.9,52917,58.00
夜晚的潜水艇,陈春成,https://book.douban.com/subject/35005045/,2020,上海三联书店,8.3,45573,52
遥远的救世主,豆豆,https://book.douban.com/subject/1322455/,2005,作家出版社,8.7,32210,28.00
老妓抄,冈本加乃子,https://book.douban.com/subject/35710421/,2022,辽宁人民出版社,8.8,2766,65
消失的13级台阶,[日]高野和明,https://book.douban.com/subject/34996429/,2020,上海文艺出版社,8.6,67962,42.00
缺席的城市,[阿根廷]里卡多·皮格利亚,https://book.douban.com/subject/35932955/,2022,四川文艺出版社,9.0,174,68.00
文城,余华,https://book.douban.com/subject/35335514/,2021,北京十月文艺出版社,7.9,40601,59.00
霍乱时期的爱情,[哥伦比亚]加西亚·马尔克斯,https://book.douban.com/subject/10594787/,2012,南海出版公司,9.0,251015,39.50
权力与荣耀,格雷厄姆·格林,https://book.douban.com/subject/35848947/,2022,文汇出版社,9.2,410,66
许三观卖血记,余华,https://book.douban.com/subject/4760224/,2012,作家出版社,9.1,110615,24.00
起初·纪年,王朔,https://book.douban.com/subject/36055837/,2022,新星出版社,7.2,287,108.00
五号屠场,[美]库尔特·冯内古特,https://book.douban.com/subject/35815592/,2022,河南文艺出版社,8.8,634,59.90
三体:“地球往事”三部曲之一,刘慈欣,https://book.douban.com/subject/2567698/,2008,重庆出版社,8.9,444188,23.00
千里江山图,孙甘露,https://book.douban.com/subject/35897992/,2022,上海文艺出版社,7.9,489,59.00
白夜行,[日]东野圭吾,https://book.douban.com/subject/10554308/,2013,南海出版公司,9.2,402813,39.50
克莱因壶,[日]冈岛二人,https://book.douban.com/subject/33658616/,2019,化学工业出版社,8.9,43563,48.00
树上的男爵,[意]伊塔洛·卡尔维诺,https://book.douban.com/subject/6789605/,2012,译林出版社,9.1,45251,30.00
房思琪的初恋乐园,林奕含,https://book.douban.com/subject/27614904/,2018,北京联合出版公司,9.2,321195,45.00
天才基本法,长洱,https://book.douban.com/subject/34466299/,2019,江苏凤凰文艺出版社,8.5,13782,78.00
悉达多:一首印度的诗,[德]赫尔曼·黑塞,https://book.douban.com/subject/26980487/,2017,天津人民出版社,9.4,38591,32.00
我的天才女友:那不勒斯四部曲1,[意]埃莱娜·费兰特,https://book.douban.com/subject/26878124/,2017,人民文学出版社,8.7,92345,42.00
卡拉马佐夫兄弟,[俄]陀思妥耶夫斯基,https://book.douban.com/subject/25887924/,2015,上海译文出版社,9.7,18974,78.00
生吞,郑执,https://book.douban.com/subject/27170951/,2017,浙江文艺出版社,7.8,45992,42.00
流俗地,[马来西亚]黎紫书,https://book.douban.com/subject/35430425/,2021,北京十月文艺出版社,9.2,5379,55
猫派,[美]克里斯汀·鲁佩南,https://book.douban.com/subject/35898133/,2022,新星出版社,7.7,389,68.00
焦虑的人,弗雷德里克·巴克曼,https://book.douban.com/subject/35539713/,2021,天津人民出版社,8.4,8804,49.8
西游补:悟空的梦,董说,https://book.douban.com/subject/35783854/,2022,上海文艺出版社,8.6,213,55
百年孤独,[哥伦比亚]加西亚·马尔克斯,https://book.douban.com/subject/6082808/,2011,南海出版公司,9.3,380806,39.50
